"カテゴリ","名称","住所","X座標","Y座標"
"避難所","豊田中学校","駿河区豊田1-3-1",-8269.08084510,-114117.54905700
"避難所","静岡女子高校","駿河区八幡3-6-1",-9460.82321468,-114322.37231600
"避難所","駿河総合高校","駿河区有東3-4-17",-8144.20307984,-115020.57620700
"避難所","城南静岡中学･高校","駿河区南八幡町1",-9105.79146613,-114960.45460300
"避難所","南部小学校","駿河区南八幡町11-1",-8824.78504485,-115102.22910200
"避難所","南部生涯学習センター","駿河区南八幡町25-21",-8663.36949888,-115193.17891900
"避難所","静岡看護専門学校","駿河区南八幡町8-1",-8891.26256253,-115317.66396600
"避難所","富士見小学校","駿河区登呂1-1-1",-8213.82166648,-115269.58382900
"避難所","高松中学校","駿河区登呂4-6-1",-8158.99495591,-115565.35300800
"避難所","宮竹小学校","駿河区宮竹2-12-1",-7529.36890580,-116218.64706400
"避難所","南中学校","駿河区宮竹2-11-1",-7411.73961190,-116349.17819400
"避難所","大里東小学校","駿河区高松2310",-7400.04252536,-116925.84977100
"避難所","長田西小学校","駿河区丸子6-15-65",-13665.51895760,-116890.70934700
"避難所","長田西中学校","駿河区丸子1-1-1",-12852.74286090,-116692.37181000
"避難所","長田生涯学習センター","駿河区寺田131-1",-12919.68395660,-117664.93514700
"避難所","長田体育館","駿河区鎌田574-1",-12479.56541960,-117746.29487400
"避難所","長田南中学校","駿河区みずほ3-9-1",-12033.10485910,-117879.93510000
"避難所","城山中学校","駿河区小坂2-33",-13070.90067510,-118694.97834000
"避難所","長田南小学校","駿河区広野4-7-1",-11946.50914490,-118899.73156900
"避難所","オーク長田(長田支所)","駿河区上川原13-1",-12282.09365270,-116936.73351600
"避難所","川原小学校","駿河区下川原4-14-1",-10704.45816810,-117813.93856400
"避難所","長田東小学校","駿河区東新田3-10-1",-11611.15687040,-116907.13023300
"避難所","長田北小学校","駿河区向敷地890",-12868.19512480,-115151.78293300
"避難所","静岡西高校","葵区牧ケ谷680-1",-13619.13874970,-114126.05375800
"避難所","女性会館・葵生涯学習センター","葵区東草深町3-18",-10437.71310890,-112767.72639400
"避難所","葵小学校","葵区城内町7-9",-10692.94738830,-112918.16470300
"避難所","静岡雙葉学園中学・高校","葵区追手町10-71",-10900.44482520,-113093.30981900
"避難所","静岡大学附属静岡中学校","葵区駿府町1-86",-10375.62873360,-113291.55462900
"避難所","静岡大学附属静岡小学校","葵区駿府町1-94",-10392.48279260,-113405.29178800
"避難所","城内中学校","葵区駿府町1-107",-10419.74232000,-113538.44633300
"避難所","静岡大成中学･高校","葵区鷹匠2-4-18",-10180.58687410,-113316.52646300
"避難所","伝馬町小学校","葵区伝馬町14-2",-9992.51931974,-113712.63236700
"避難所","静岡英和女学院中学・高校","葵区西草深町8-1",-11002.42429430,-112981.49269000
"避難所","静岡高校","葵区長谷町66",-10891.39528740,-112511.35218400
"避難所","末広中学校","葵区末広町41",-11633.84952210,-112867.36925300
"避難所","安西小学校","葵区安西1-96-3",-11509.15647900,-112988.61865100
"避難所","特別支援教育センター","葵区一番町50",-11627.23782280,-113557.70845900
"避難所","番町小学校","葵区新富町1-23-1",-11999.90862360,-113687.41839100
"避難所","西部生涯学習センター","葵区田町3-46-1",-12183.36718010,-114083.88221800
"避難所","田町小学校","葵区田町5-70",-12138.61703230,-114601.68057700
"避難所","静岡商業高校","葵区田町7-90",-12067.59581400,-114874.95061500
"避難所","安倍川中学校","葵区弥勒2-11-1",-11992.28993210,-115055.55058200
"避難所","新通小学校","葵区駒形通2-4-47",-11225.88082360,-114251.34544400
"避難所","県男女共同参画センター(あざれあ)","駿河区馬淵1-17-1",-10670.64856550,-114405.87146700
"避難所","森下小学校","駿河区森下町2-1",-9776.86672626,-114114.64862000
"避難所","中田小学校","駿河区中田2-14-1",-9789.61208854,-114947.03399000
"避難所","大里西小学校","駿河区中原400",-10328.41375850,-115697.44680000
"避難所","駒形小学校","葵区南安倍2-1-1",-11542.73930770,-115191.78619600
"避難所","大里生涯学習センター","駿河区中野新田57-5",-10472.37750650,-116237.08134100
"避難所","大里中学校","駿河区中野新田57-5",-10515.81324620,-116302.94830400
"避難所","静岡聴覚特別支援学校","駿河区中村町251",-9805.43837228,-116388.59411400
"避難所","中島小学校","駿河区中島2992-1",-9172.13464347,-117510.38736600
"避難所","静岡朝鮮初中級学校","駿河区中島1171",-9609.74098648,-117714.36416800
"避難所","中島中学校","駿河区中島3303",-9606.16576849,-118121.92556200
"避難所","静岡学園中･高","葵区東鷹匠町25",-9649.64426523,-112807.31685300
"避難所","静岡英和学院大学","駿河区池田1769",-5787.62408095,-112808.19173200
"避難所","井川生涯学習交流館","葵区井川656-2",-23560.52342010,-86318.94044870
"避難所","梅ヶ島生涯学習交流館","葵区梅ヶ島1309",-14478.46716050,-83920.11281140
"避難所","大河内生涯学習交流館","葵区平野1097-38",-12262.41557060,-95134.76988340
"避難所","玉川生涯学習交流館","葵区落合126-1",-15373.03546650,-98665.46437130
"避難所","大川生涯学習交流館","葵区日向10",-23507.16827890,-101753.27985800
