No.,店舗・施設名,住所,整備事業者,緯度,経度
34,(株)柴田自動車工業,葵区古庄4-8-18,NTT西日本(dospot),34.997293,138.414318
33,建築工房　暖,清水区蒲原1-7-3-1,NTT西日本(dospot),35.122414,138.611865
32,(有)久し屋,葵区安西5-4,NTT西日本(dospot),34.976283,138.366601
31,特定非営利活動法人　清水ネット,清水区下野緑町17-11,NTT西日本(dospot),35.033458,138.467648
30,駿府城公園　坤櫓,葵区駿府城公園1-1,NTT西日本,34.978428,138.381187
29,はごろも情報ひろば「みほナビ」,清水区三保1338-47、48,NTT西日本,34.995744,138.522636
28,宗林寺,葵区沓谷1316,NTT西日本,34.99356,138.411901
27,興津生涯学習交流館,清水区興津本町829番地,NTT西日本,35.047537,138.518079
26,メディア・ミックス静岡,葵区本通10丁目52番地の5,アサヒ,34.967375,138.372714
25,駿河区役所1階ロビー,駿河区南八幡町10番40号,NTT西日本,34.960791,138.404045
24,清水区役所1階ロビー,清水区旭町6番8号,NTT西日本,35.015952,138.489543
23,(株)マスターチ,葵区駒形通5-5-9,アサヒ,34.965333,138.37468
22,葵区役所1階ロビー,葵区追手町5番1号,NTT西日本,34.975175,138.383263
21,しずチカ情報ポケット,葵区黒金町地先(静岡駅北口地下広場),NTT西日本,34.972417,138.388317
20,(株)政豊,葵区呉服町2-7-5,NTT西日本,34.973907,138.384492
19,三保生涯学習交流館,清水区三保1074-8,NTT西日本,34.999565,138.520228
18,有度生涯学習交流館,清水区草薙一里山3-1,NTT西日本,35.006697,138.452523
17,駒越生涯交流学習館,清水区迎山町1-7,NTT西日本,34.977933,138.494229
16,鈴木規之税理士事務所,清水区袖師町941,アサヒ,35.038816,138.49369
15,峠工房(丸子峠大鯛焼き),駿河区丸子5787,アサヒ,34.954456,138.321345
14,ベイホテル入船館,清水区袖師町1477-1,NTT西日本,35.03411,138.494833
13,はごろもフーズ(株),清水区島崎町151,NTT西日本,35.018884,138.490557
12,Den bill,葵区御幸町4-6,NTT西日本,34.974298,138.385642
11,(株)スポーツショップアラジン,清水区浜田町10-29,NTT西日本(dospot),35.014295,138.483141
10,(株)スポーツショップアラジン,葵区昭府町1-8-54,NTT西日本(dospot),34.998249,138.369627
9,(株)清水洞江水産,清水区入船町13-15,NTT西日本(dospot),35.010488,138.492942
8,清水税務署管内青色申告会,清水区相生町6-17,NTT西日本(dospot),35.014197,138.489068
7,サンキュー自動車,清水区庵原町63-10,NTT西日本(dospot),35.044052,138.48398
6,ブティック Inaba,清水区八木間町322-10,NTT西日本(dospot),35.063916,138.521987
5,ヘアサロン　ムービズ,清水区西高町15-15,NTT西日本(dospot),35.006128,138.474389
4,美容室アット!,駿河区登呂6-1-2,NTT西日本(dospot),34.955192,138.40437
3,高木モーター(株),清水区本郷町5-1,NTT西日本(dospot),35.023939,138.484857
2,岡本園,清水区高橋3-6-11,NTT西日本(dospot),35.028564,138.466761
1,民宿三保荘,清水区三保2428-1,NTT西日本(dospot),35.018739,138.520094
