年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.10.,76920,ﾕﾘﾈ,0,*ｺﾞｳｹｲ*,337,387612
27.10.,76920,ﾕﾘﾈ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,337,387612
27.10.,37150,ﾍﾟｺﾛｽﾙｲ,0,*ｺﾞｳｹｲ*,427,150422
27.10.,37150,ﾍﾟｺﾛｽﾙｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,425,147960
27.10.,37150,ﾍﾟｺﾛｽﾙｲ,150,ﾕ ﾆ ﾕ ｳ,2,2462
27.10.,76630,ﾍﾟｺﾛｽ,0,*ｺﾞｳｹｲ*,427,150422
27.10.,76630,ﾍﾟｺﾛｽ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,425,147960
27.10.,76630,ﾍﾟｺﾛｽ,150,ﾕ ﾆ ﾕ ｳ,2,2462
27.10.,37160,ｱ-ﾘ-ﾚﾂﾄﾙｲ,0,*ｺﾞｳｹｲ*,9460,1220778
27.10.,37160,ｱ-ﾘ-ﾚﾂﾄﾙｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,9460,1220778
27.10.,76640,ｱ-ﾘ-ﾚﾂﾄ,0,*ｺﾞｳｹｲ*,9460,1220778
27.10.,76640,ｱ-ﾘ-ﾚﾂﾄ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,9460,1220778
27.10.,37170,ｿﾉﾀﾂﾁﾓﾉﾙｲ,0,*ｺﾞｳｹｲ*,75.72,47173
27.10.,37170,ｿﾉﾀﾂﾁﾓﾉﾙｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,2.72,9633
27.10.,37170,ｿﾉﾀﾂﾁﾓﾉﾙｲ,22,ｼ ｽﾞ ｵ ｶ,73,37540
27.10.,76900,ｿﾉﾀﾂﾁﾓﾉ,0,*ｺﾞｳｹｲ*,73,37540
27.10.,76900,ｿﾉﾀﾂﾁﾓﾉ,22,ｼ ｽﾞ ｵ ｶ,73,37540
27.10.,76950,ﾚﾎ-ﾙ,0,*ｺﾞｳｹｲ*,0.72,2073
27.10.,76950,ﾚﾎ-ﾙ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,0.72,2073
27.10.,76921,ｶｷﾕﾘﾈ,0,*ｺﾞｳｹｲ*,2,7560
27.10.,76921,ｶｷﾕﾘﾈ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,2,7560
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,0,*ｺﾞｳｹｲ*,28908.51,28429556
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,15.04,70027
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,4,ﾐ ﾔ ｷﾞ,26.4,127811
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,5,ｱ ｷ ﾀ,19.6,148079
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,6,ﾔ ﾏ ｶﾞ ﾀ,12.2,71604
27.10.,30009,ｺｳｼﾝﾂﾏﾓﾉﾔｻｲﾙｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,137.9,231449
