所在地 名称(敷地),所在地-1(敷地),棟 名称,階数 地上(棟),階数 地下(棟),用途区分(棟)名
株式会社カナサシ重工　富士見荘,静岡市清水区三保６８９番地,株式会社カナサシ重工　富士見荘,3,0,寄宿舎
コーポノーブルＡ,静岡市清水区三保６８番地の１,コーポノーブルＡ,2,0,共同住宅
コーポノーブルＢ,静岡市清水区三保６８番地の１,コーポノーブルＢ,2,0,共同住宅
株式会社　魚栄,静岡市清水区三保６番地の１,株式会社　魚栄　作業場,2,0,作業場
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,　ローソーダアルミナ工場,1,0,工場
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,　高純度１次積込場,2,0,作業場
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,電融アルミナ溶解工場,1,0,工場
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,電融アルミナ破砕工場,2,0,工場
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,包装工場,1,0,工場
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,ＮＯ．４製品倉庫,1,0,倉庫
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,ＮＯ．３製品倉庫,1,0,倉庫
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,製品倉庫,1,0,倉庫
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,製品倉庫,1,0,倉庫
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,電融アルミナ包装工場,1,0,工場
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,雨天積込場,1,0,作業場
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,出荷場,1,0,作業場
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,機材倉庫,1,0,倉庫
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,総合詰所,2,0,(１５)項  その他
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,油庫,1,0,(１４)項  その他
日本軽金属㈱　塚間工場,静岡市清水区三保７００番地,倉庫,1,0,倉庫
塚間自治会館高齢者生きがいセンター,静岡市清水区三保７０５番地の１０,塚間自治会館高齢者生きがいセンター,2,0,集会場
フロンティア１３３　コーポウェルＢ,静岡市清水区三保７２番地の３,フロンティア１３３　コーポウェルＢ,2,0,共同住宅
フロンティア１３３　コーポウェルＡ,静岡市清水区三保７２番地の３,フロンティア１３３　コーポウェルＡ,2,0,共同住宅
清水エンジニアリング株式会社,静岡市清水区三保７３０番地の４,清水エンジニアリング株式会社,2,0,工場
大伸架設倉庫,静岡市清水区三保７３３番地の１,大伸架設倉庫,2,0,倉庫
太陽精機株式会社,静岡市清水区三保７３５番地の１,太陽精機株式会社　工場Ｃ,1,0,作業場
静岡物産株式会社,静岡市清水区三保７３７番地の１,静岡物産株式会社　,1,0,工場
静岡物産株式会社,静岡市清水区三保７３７番地の１,静岡物産株式会社,1,0,工場
有限会社　清水テムコ,静岡市清水区三保７４３番地の２,有限会社　清水テムコ,2,0,作業場
白石文代倉庫,静岡市清水区三保７４９番地,白石文代倉庫,2,0,倉庫
有限会社　鈴木組,静岡市清水区三保７４９番地の１,有限会社　鈴木組,1,0,作業場
有限会社松本工業　テント倉庫,静岡市清水区三保７５４番地の１,有限会社松本工業　テント倉庫,1,0,倉庫
