所在地 名称(敷地),所在地-1(敷地),棟 名称,階数 地上(棟),階数 地下(棟),用途区分(棟)名
葵シティマンション,静岡市葵区葵町１１番地の１,葵シティマンション,5,0,非特定複合用途
マルハチ食品株式会社,静岡市葵区葵町１１番地の３,マルハチ食品株式会社,2,0,工場
前田金物,静岡市葵区葵町１３番地,前田金物,2,0,特定複合用途
株式会社玉屋静岡営業所,静岡市葵区葵町１番地の１,株式会社玉屋静岡営業所,4,0,事務所
株式会社海野兼太郎商店,静岡市葵区葵町２１番地,株式会社海野兼太郎商店,3,0,作業場
川連ビル,静岡市葵区葵町３７番地,川連ビル,3,0,事務所
株式会社　前六商店,静岡市葵区葵町４０番地,株式会社　前六商店,2,0,作業場
株式会社　丸六高田商店,静岡市葵区葵町４７番地,株式会社　丸六高田商店,3,0,非特定複合用途
株式会社セレクティー,静岡市葵区葵町４９番地,株式会社セレクティー,2,0,倉庫
株式会社覚丸文佐藤商店,静岡市葵区葵町５２番地,株式会社覚丸文佐藤商店,3,0,非特定複合用途
レオパレス葵,静岡市葵区葵町５７番地,レオパレス葵,2,0,共同住宅
株式会社和泉屋本店,静岡市葵区葵町５番地,株式会社和泉屋本店,3,0,非特定複合用途
株式会社　和泉屋本店　倉庫,静岡市葵区葵町７番地の１,株式会社　和泉屋本店　倉庫,3,1,倉庫
宗教法人　瑞光寺,静岡市葵区安西一丁目１００番地の１,宗教法人　瑞光寺,2,0,寺院
宗教法人然正院,静岡市葵区安西一丁目１０３番地,宗教法人然正院,2,0,寺院
ブックスランド安西店,静岡市葵区安西一丁目１０番地の６,ブックスランド安西店,2,0,(４)項  その他
㈱すかいらーく　ガスト静岡安西店,静岡市葵区安西一丁目１３番地,㈱すかいらーくガスト静岡安西店,1,0,飲食店
杉好株式会社,静岡市葵区安西一丁目１８番地,杉好株式会社,3,0,倉庫
ヨハン静岡キリスト教会,静岡市葵区安西一丁目２５番地,ヨハン静岡キリスト教会,4,0,教会
安西ハイツ,静岡市葵区安西一丁目２７番地の３,安西ハイツ,5,0,共同住宅
末廣鮨　安西店,静岡市葵区安西一丁目２番地の１２,末廣鮨　安西店,3,0,特定複合用途
海野ガレージ,静岡市葵区安西一丁目２番地の２４,海野ガレージ,1,0,駐車場
青島事務所ビル,静岡市葵区安西一丁目２番地の９,青島事務所ビル,3,0,事務所
株式会社　事務機器センター,静岡市葵区安西一丁目４０番地,株式会社事務機器センター,4,0,事務所
株式会社　事務機器センター,静岡市葵区安西一丁目４０番地,株式会社事務機器センター　機械室,1,0,事務所
静岡日産自動車株式会社安西店,静岡市葵区安西一丁目５１番地,静岡日産自動車株式会社安西店,2,0,(１２)項イ  その他
有限会社ワールドエージェント,静岡市葵区安西一丁目５４番地の１,有限会社ワールドエージェント,2,0,非特定複合用途
ル・レーヴ安西,静岡市葵区安西一丁目５９番地,ル・レーヴ安西,5,0,共同住宅
コアパレス安西,静岡市葵区安西一丁目６８番地の１,コアパレス安西,4,0,非特定複合用途
株式会社　建福工業所,静岡市葵区安西一丁目７１番地,株式会社　建福工業所（作業所・倉庫）,3,0,作業場
柿屋ビル,静岡市葵区安西一丁目７５番地,柿屋ビル,3,0,特定複合用途
東海道写楽安西店,静岡市葵区安西一丁目８２番地,東海道写楽安西店,2,0,物品販売店舗
静岡市立安西小学校,静岡市葵区安西一丁目９６番地の３,静岡市立安西小学校,4,0,小学校
静岡市立安西小学校,静岡市葵区安西一丁目９６番地の３,静岡市立安西小学校体育館,2,0,小学校
静岡市立安西小学校,静岡市葵区安西一丁目９６番地の３,静岡市立安西小学校体育器具室,1,0,小学校
村岡ビル,静岡市葵区安西五丁目１０３番地,村岡ビル,6,1,非特定複合用途
パレス安西,静岡市葵区安西五丁目１１０番地の２,パレス安西,4,0,共同住宅
フェリース安西,静岡市葵区安西五丁目１２４番地の９,フェリース安西,3,0,非特定複合用途
プチリベール安西,静岡市葵区安西五丁目１３番地,プチリベール安西,6,0,共同住宅
清水ビル（安西五）,静岡市葵区安西五丁目２３番地の２,清水ビル,3,0,非特定複合用途
レオパレス　ＰＥＡＣＥ,静岡市葵区安西五丁目２８番地,レオパレス　ＰＥＡＣＥ,2,0,共同住宅
有限会社山本電機,静岡市葵区安西五丁目３番地,有限会社山本電機,3,0,非特定複合用途
カーム安西デイサービスセンター,静岡市葵区安西五丁目４３番地,カ－ム安西デイサ－ビスセンタ－,2,0,老人デイサービスセン
ＣＯＦＦＲＥＴあすか,静岡市葵区安西五丁目５２番地,ＣＯＦＦＲＥＴあすか,3,0,非特定複合用途
安西ビル,静岡市葵区安西五丁目５７番地,安西ビル,4,0,非特定複合用途
花田コーポ,静岡市葵区安西五丁目６３番地の２,花田コーポ,3,0,非特定複合用途
ネオポリス安西,静岡市葵区安西五丁目６４番地の２,ネオポリス安西,3,0,共同住宅
むらこし食堂,静岡市葵区安西五丁目６番地,むらこし食堂,3,0,特定複合用途
株式会社ミツワ海老名商店,静岡市葵区安西五丁目７０番地の４,株式会社ミツワ海老名商店,2,0,倉庫
安西五丁目公民館,静岡市葵区安西五丁目７１番３号,安西五丁目公民館,1,0,集会場
ブランステージ葵,静岡市葵区安西五丁目７５番地の１,ブランステージ葵,8,0,共同住宅
有限会社割烹料理　魚長,静岡市葵区安西五丁目７６番地の３,有限会社割烹料理　魚長,2,0,飲食店
前田ガレージ,静岡市葵区安西五丁目９１番地,前田ガレージ,2,0,駐車場
大川ビル,静岡市葵区安西五丁目９番地の１,大川ビル,4,0,事務所
株式会社浜佐商店,静岡市葵区安西三丁目１１番地,株式会社浜佐商店,4,1,作業場
山新ビル,静岡市葵区安西三丁目１５番地,山新ビル,3,0,事務所
株式会社赤沢屋望月商店,静岡市葵区安西三丁目２０番地,株式会社　赤沢屋望月商店　作業場,3,0,作業場
株式会社赤沢屋望月商店,静岡市葵区安西三丁目２０番地,望月　浩,2,0,専用住宅
株式会社赤沢屋望月商店,静岡市葵区安西三丁目２０番地,株式会社赤沢屋望月商店,3,0,特定複合用途
東海砿業ビル,静岡市葵区安西三丁目２０番地の１,東海砿業ビル,8,0,特定複合用途
静岡安西ビル,静岡市葵区安西三丁目２４番地,静岡安西ビル,8,0,事務所
株式会社　マルモ森商店,静岡市葵区安西三丁目２７番地,株式会社マルモ森商店　倉庫付作業所,3,0,作業場
株式会社　伊藤園本店,静岡市葵区安西三丁目２８番地,株式会社　伊藤園本店,2,0,倉庫
有限会社　桜井源吉商店,静岡市葵区安西三丁目３１番地,有限会社　桜井源吉商店,3,0,作業場
小林真一郎,静岡市葵区安西三丁目３５番地,小林真一郎,2,0,非特定複合用途
有限会社オフィス北島,静岡市葵区安西三丁目３７番地,有限会社オフィス北島,3,0,特定複合用途
しずおか信用金庫安西支店,静岡市葵区安西三丁目４１番地,しずおか信用金庫安西支店,2,0,銀行・証券会社等
株式会社　中央製茶斡旋所,静岡市葵区安西三丁目４３番地の３,株式会社　中央製茶斡旋所,2,0,作業場
尾崎ビル,静岡市葵区安西三丁目６０番地の１,尾崎ビル,3,0,特定複合用途
株式会社　秀英予備校安西校,静岡市葵区安西三丁目６０番地の２,株式会社　秀英予備校安西校,4,0,(７)項  その他
株式会社本目浅吉商店,静岡市葵区安西三丁目６５番地,株式会社本目浅吉商店　,2,0,工場
株式会社　鈴和商店,静岡市葵区安西三丁目６８番地,株式会社　鈴和商店,4,0,作業場
株式会社静岡銀行安西支店,静岡市葵区安西三丁目７５番地,静岡銀行　安西支店,2,0,銀行・証券会社等
株式会社成岡謹三商店,静岡市葵区安西三丁目７７番地,株式会社成岡謹三商店,5,0,作業場
有限会社　サスナカ　牧野商会,静岡市葵区安西三丁目８番地,有限会社　サスナカ　牧野商会,3,0,作業場
グランドール安西,静岡市葵区安西四丁目２８番地,グランドール安西,5,0,非特定複合用途
居酒屋　磯菜,静岡市葵区安西四丁目４１番地,居酒屋　磯菜,3,0,飲食店
株式会社　石川建築総合事務所,静岡市葵区安西四丁目４２番地,株式会社　石川建築総合事務所,3,0,事務所
有限会社和田長治商店,静岡市葵区安西四丁目５１番地,有限会社和田長治商店,3,0,作業場
株式会社　小林市蔵商店,静岡市葵区安西四丁目５番地の１,株式会社　小林市蔵商店,3,0,工場
静興茶業株式会社　　第２工場,静岡市葵区安西四丁目６１番地の２,静興茶業株式会社　　第２工場,3,1,作業場
有限会社　利照堂仏具店,静岡市葵区安西四丁目６１番地の４,有限会社　利照堂仏具店,2,0,物品販売店舗
静興茶業株式会社　　第１工場,静岡市葵区安西四丁目６４番地,静興茶業株式会社　　第１工場,3,1,工場
ホテルアクアイン,静岡市葵区安西四丁目８番地の１,ホテルアクアイン,4,1,ホテル
ホテルアクアイン,静岡市葵区安西四丁目８番地の１,ホテルアクアイン,1,0,駐車場
トワーレＫ,静岡市葵区安西四丁目９０番地,トワーレＫ,3,0,特定複合用途
宗教法人大林寺,静岡市葵区安西四丁目９３番地,宗教法人大林寺,2,0,寺院
有限会社　ことぶき衣料,静岡市葵区安西二丁目１２番地,有限会社　ことぶき衣料,3,0,特定複合用途
ホリホックイン安西,静岡市葵区安西二丁目１３番地,ホリホックイン安西,6,0,非特定複合用途
第一製茶株式会社,静岡市葵区安西二丁目２０番地,第一製茶株式会社,2,0,工場
静岡木材会館,静岡市葵区安西二丁目２１番地,静岡木材会館,3,0,特定複合用途
渡辺ハイツ,静岡市葵区安西二丁目２８番地,渡辺ハイツ,3,0,
ローソン静岡安西二丁目店,静岡市葵区安西二丁目３５番地,ローソン静岡安西二丁目店,1,0,物品販売店舗
ウィスティリア安西,静岡市葵区安西二丁目５０番地,ウィスティリア安西,10,0,共同住宅
ライブコート安東,静岡市葵区安東一丁目１０番１１号,ライブコート安東,4,0,共同住宅
ライブ・ブラウンB棟,静岡市葵区安東一丁目１０番１３号,ライブ・ブラウンB棟,2,0,共同住宅
フルール安東,静岡市葵区安東一丁目１０番２３号,フルール安東,3,0,共同住宅
安東寮,静岡市葵区安東一丁目１１番２８号,安東寮,3,0,共同住宅
クリスタルーライン,静岡市葵区安東一丁目１２番４,クリスタル－ライン,3,0,共同住宅
レオネクストパークサイドあおい,静岡市葵区安東一丁目１２番５号,レオネクストパークサイドあおい,2,0,共同住宅
スプルース　コートセブン,静岡市葵区安東一丁目１２番７号,スプルース　コートセブン,3,0,共同住宅
かすり屋,静岡市葵区安東一丁目１２番８号,かすり屋,2,0,倉庫
山田ビル,静岡市葵区安東一丁目１２番９号,山田ビル,3,0,事務所
小林アパート,静岡市葵区安東一丁目１６番８号,小林アパート,2,0,共同住宅
安東職員住宅Ｂ棟,静岡市葵区安東一丁目１７番２１号,安東職員住宅Ｂ棟,3,0,共同住宅
安東職員住宅Ａ棟,静岡市葵区安東一丁目１７番２１号,安東職員住宅Ａ棟,3,0,共同住宅
西ケ谷ハイツ,静岡市葵区安東一丁目１７番７号,西ケ谷ハイツ,2,0,共同住宅
アルパイン安東,静岡市葵区安東一丁目１８番１０号,アルパイン安東,2,0,共同住宅
八百清,静岡市葵区安東一丁目１８番１４号,八百清,2,0,マーケット
ピュア・ヒルズ・アンドウ,静岡市葵区安東一丁目１８番３号,ピュア・ヒルズ・アンドウ,2,0,共同住宅
サンピュア　ＳＰＡＣＥ,静岡市葵区安東一丁目１８番９号,サンピュア　ＳＰＡＣＥ,3,0,共同住宅
飯田獣医科,静岡市葵区安東一丁目１９番１１号,飯田獣医科,3,0,非特定複合用途
臼井英語教室,静岡市葵区安東一丁目１９番１号,臼井英語教室,3,0,事務所
アーバンＴ,静岡市葵区安東一丁目１９番２３号,アーバンＴ,3,0,共同住宅
ラ・コンコルド,静岡市葵区安東一丁目１９番４号,ラ・コンコルド,2,0,共同住宅
グリーンハイツ安東,静岡市葵区安東一丁目２０番１５号,グリーンハイツ安東,3,0,共同住宅
Espero安東,静岡市葵区安東一丁目２０番２０号,Espero安東,2,0,共同住宅
フレンドリー安東,静岡市葵区安東一丁目２０番８,フレンドリー安東,2,0,共同住宅
メゾン・プチフルール,静岡市葵区安東一丁目２１番１７号,メゾン・プチフルール,3,0,共同住宅
アネックス安東,静岡市葵区安東一丁目２１番２３号,アネックス安東,3,0,共同住宅
長谷通りクリニック,静岡市葵区安東一丁目２１番９号,長谷通りクリニック,2,0,特定複合用途
メイプル安東ｆⅡ,静岡市葵区安東一丁目２２番１８号,メイプル安東ｆⅡ,3,0,共同住宅
おそば処　山惣,静岡市葵区安東一丁目２２番１号,おそば処　山惣,3,0,特定複合用途
メイプル安東,静岡市葵区安東一丁目２２番２１号,メイプル安東,2,0,共同住宅
ライフメゾン安東,静岡市葵区安東一丁目２２番２３号,ライフメゾン安東,3,0,共同住宅
静清信用金庫安東支店,静岡市葵区安東一丁目２２番３号,静清信用金庫安東支店,2,0,銀行・証券会社等
トラヤ長谷通り店,静岡市葵区安東一丁目２３番５号,トラヤ長谷通り店,2,0,物品販売店舗
ボヌール安東,静岡市葵区安東一丁目２５番１９号,ボヌ－ル安東,2,0,共同住宅
ルーク安東,静岡市葵区安東一丁目２５番２２号,ルーク安東,2,0,共同住宅
レオパレス２１　Ｇｏｎ　Ｖｉｅｒ,静岡市葵区安東一丁目２６番３０号,レオパレス２１ＧｏｎＶｉｅｒ,2,0,共同住宅
レオパレス２１　權兵衞,静岡市葵区安東一丁目２６番３２号,レオパレス２１　權兵衞,2,0,共同住宅
マロンコート安東,静岡市葵区安東一丁目２番３号,マロンコート安東,2,0,非特定複合用途
中和物産株式会社,静岡市葵区安東一丁目３番１０号,中和物産株式会社,2,0,作業場
ベリル安東,静岡市葵区安東一丁目３番１４号,ベリル安東,2,0,特定複合用途
レガシオン安東,静岡市葵区安東一丁目３番１６号,レガシオン安東,2,0,共同住宅
長谷川ビル,静岡市葵区安東一丁目５番１１号,長谷川ビル,3,0,特定複合用途
ハイツあいりす,静岡市葵区安東一丁目６番１７号,ハイツあいりす,2,0,特定複合用途
田園ハウス,静岡市葵区安東一丁目６番４号,田園ハウス,2,0,共同住宅
トランクルーム　ムカサ,静岡市葵区安東一丁目６番６号,トランクル－ム　ムカサ,3,0,非特定複合用途
メゾンＦ,静岡市葵区安東一丁目６番７号,メゾンＦ,2,0,共同住宅
静岡大学国際交流会館,静岡市葵区安東一丁目７番３０号,静岡大学国際交流会館,3,0,寄宿舎
八洲家具販売株式会社,静岡市葵区安東一丁目８番２２号,八洲家具販売株式会社,3,0,倉庫
アークＳ,静岡市葵区安東一丁目８番２３号,アークＳ,2,0,共同住宅
レチエル,静岡市葵区安東一丁目８番３３号,レチェル,2,0,共同住宅
ドーマ安東,静岡市葵区安東一丁目８番３３号,ドーマ安東,2,0,共同住宅
キャピタル安東,静岡市葵区安東一丁目９番５号,キャピタル安東,3,0,共同住宅
シティハウス安東Ⅱ,静岡市葵区安東三丁目１０番１１号,シティハウス安東Ⅱ,2,0,共同住宅
フィアット,静岡市葵区安東三丁目１０番３４号,フィアット,2,0,共同住宅
レディースクリニック古川,静岡市葵区安東三丁目１０番５号,レディースクリニック古川,2,0,診療所
シティハウス安東,静岡市葵区安東三丁目１０番６号,シティハウス安東,2,0,共同住宅
静岡市立安東幼稚園・保育園,静岡市葵区安東三丁目１１番１７号,静岡市立安東幼稚園・保育園　園舎Ａ,2,0,(６)項ハ　その他
静岡市立安東幼稚園・保育園,静岡市葵区安東三丁目１１番１７号,静岡市立安東幼稚園・保育園　園舎Ｂ,1,0,(６)項ハ　その他
ハイツ松風,静岡市葵区安東三丁目１１番３５号,ハイツ松風,3,0,共同住宅
ＮＨＫするが寮,静岡市葵区安東三丁目１１番４０号,ＮＨＫするが寮,3,0,共同住宅
城北ハイツ,静岡市葵区安東三丁目１１番４１号,城北ハイツ,2,0,共同住宅
静岡安東ハイム,静岡市葵区安東三丁目１２番２６号,静岡安東ハイム,3,0,共同住宅
ヴィサジュ安東,静岡市葵区安東三丁目１２番２８号,ヴィサジュ安東,2,0,共同住宅
ＢＴＵ静岡安東,静岡市葵区安東三丁目１２番３４号,ＢＴＵ静岡安東,1,0,(１５)項  その他
メゾン　ヴェール　Ando,静岡市葵区安東三丁目１２番３号,メゾン　ヴェール　Ando,3,0,共同住宅
静岡市立安東中学校,静岡市葵区安東三丁目１３番１号,静岡市立安東中学校　校舎,4,0,中学校
中部電力北安東寮,静岡市葵区安東三丁目１４番１４号,中部電力北安東寮,4,0,共同住宅
やまと動物病院,静岡市葵区安東三丁目１４番５号,やまと動物病院,2,0,(１５)項  その他
山下工業株式会社　安東工場,静岡市葵区安東三丁目１４番９号,山下工業株式会社　安東工場,2,0,作業場
ハックドラッグ安東店,静岡市葵区安東三丁目１５番１０号,ハックドラッグ安東店,1,0,物品販売店舗
静岡市立安東小学校,静岡市葵区安東三丁目１６番１号,安東小学校第一校舎,4,0,小学校
静岡市立安東小学校,静岡市葵区安東三丁目１６番１号,安東小学校第二校舎,4,0,小学校
静岡市立安東小学校,静岡市葵区安東三丁目１６番１号,安東小学校第三校舎　体育館,3,0,小学校
ルビィラージュアンドウ,静岡市葵区安東三丁目１７番１０号,ルビィラージュアンドウ,3,0,共同住宅
エスパシオ安東,静岡市葵区安東三丁目１７番１５番,エスパシオ安東,2,0,共同住宅
望月　光　邸,静岡市葵区安東三丁目１７番３２号,望月　光　邸,3,0,
ベルテ安東,静岡市葵区安東三丁目１７番３３号,ベルテ安東,2,0,共同住宅
メゾングランツ‐ウェリス安東,静岡市葵区安東三丁目１８番１３号,メゾングランツ-ウェリス安東,4,0,共同住宅
北斗マンション,静岡市葵区安東三丁目１８番２１号,北斗マンション,3,0,共同住宅
プロパティ葵,静岡市葵区安東三丁目１８番２４号,プロパティ葵,3,0,共同住宅
安東ロイヤルハイツ,静岡市葵区安東三丁目１８番３０号,安東ロイヤルハイツ,3,0,非特定複合用途
プロパティ安東,静岡市葵区安東三丁目１８番３５号,プロパティ安東,2,0,共同住宅
山下工業株式会社,静岡市葵区安東三丁目１９番３５号,山下工業株式会社,3,0,倉庫
山下工業株式会社,静岡市葵区安東三丁目１９番３５号,山下工業株式会社,2,0,倉庫
Ｋｉｎｄ安東,静岡市葵区安東三丁目２０番３１号,Ｋｉｎｄ安東,3,0,共同住宅
そば処新ばし,静岡市葵区安東三丁目２０番３２号,そば処新ばし,2,0,特定複合用途
岡部　方子,静岡市葵区安東三丁目２番２７号,岡部方子,2,0,非特定複合用途
桜館Ⅱ,静岡市葵区安東三丁目３番１８号,桜館Ⅱ,2,0,共同住宅
安東レジデンス,静岡市葵区安東三丁目３番２０号,安東レジデンス,3,0,共同住宅
チサンマンション安東Ⅲ,静岡市葵区安東三丁目４番１５号,チサンマンション安東Ⅲ,3,0,共同住宅
ハイム瑞光,静岡市葵区安東三丁目５番１８号,ハイム瑞光,3,0,共同住宅
ヤギモク木材産業株式会社リフォーム安東店,静岡市葵区安東三丁目５番２９号,ヤギモク産業株式会社リフォーム安東店,3,0,事務所
メルファレーン,静岡市葵区安東三丁目５番３１号,メルファレーン,2,0,共同住宅
サンピュア宮澤Ⅲ,静岡市葵区安東三丁目６番１１号,サンピュア宮澤Ⅲ,3,0,非特定複合用途
しずてつストア安東店,静岡市葵区安東三丁目６番１３号,しずてつストア安東店,2,0,マーケット
カーサ　アレグラ,静岡市葵区安東三丁目６番２７号,カーサ　アレグラ,3,0,共同住宅
ルミェールハイムＡ棟Ｂ棟,静岡市葵区安東三丁目６番３５号,ルミェールハイムＡ棟,2,0,共同住宅
ルミェールハイムＡ棟Ｂ棟,静岡市葵区安東三丁目６番３５号,ルミェールハイムＢ棟,2,0,共同住宅
相川ハイツ,静岡市葵区安東三丁目６番７号,相川ハイツ,2,0,共同住宅
アメリカンレンタルスペース,静岡市葵区安東三丁目７番１３号,アメリカンレンタルスペ－ス,2,0,倉庫
セブン‐イレブン静岡安東３丁目店,静岡市葵区安東三丁目７番３０号,セブン‐イレブン静岡安東３丁目店,1,0,物品販売店舗
第一生命静岡アパート,静岡市葵区安東三丁目７番３９号,第一生命静岡アパート,3,0,共同住宅
メゾン・ド・カーム,静岡市葵区安東三丁目７番４３号,メゾン・ド・カーム,4,1,共同住宅
トラヤテレビサービス株式会社,静岡市葵区安東三丁目８番３５号,トラヤテレビサ－ビス株式会社,3,0,特定複合用途
ＮＴＴ城北第１ビル・第２ビル,静岡市葵区安東三丁目８番３７号,ＮＴＴ城北第一ビル,4,0,(１５)項  その他
ＮＴＴ城北第１ビル・第２ビル,静岡市葵区安東三丁目８番３７号,ＮＴＴ城北第２ビル,2,0,事務所
ＮＴＴ城北第１ビル・第２ビル,静岡市葵区安東三丁目８番３７号,ＮＴＴ城北ビル倉庫,1,0,倉庫
株式会社静岡銀行　北安東支店,静岡市葵区安東三丁目８番４号,株式会社静岡銀行　北安東支店,2,0,銀行・証券会社等
セードル安東,静岡市葵区安東三丁目９番１５号,セードル安東,3,0,共同住宅
ル・シェモア安東,静岡市葵区安東三丁目９番１７号,ル・シェモア安東,4,0,共同住宅
フジパレス安東壱番館,静岡市葵区安東三丁目９番２０号,フジパレス安東壱番館,3,0,共同住宅
中部電力株式会社芙蓉寮,静岡市葵区安東三丁目９番３６号,中部電力株式会社芙蓉寮,3,0,寄宿舎
バロネス安東,静岡市葵区安東二丁目１０番１８号,バロネス安東,2,0,共同住宅
ラパン,静岡市葵区安東二丁目１０番２８号,ラパン,3,0,共同住宅
シャロム安東Ａ棟Ｂ棟,静岡市葵区安東二丁目１０番３４号,シャロム安東Ａ棟,2,0,共同住宅
シャロム安東Ａ棟Ｂ棟,静岡市葵区安東二丁目１０番３４号,シャロム安東Ｂ棟,2,0,共同住宅
ヒロアセッツ,静岡市葵区安東二丁目１０番４号,ヒロアセッツ,4,0,共同住宅
メゾン永静,静岡市葵区安東二丁目１０番５号,メゾン永静,2,0,共同住宅
泉館,静岡市葵区安東二丁目１１番６号,泉館,2,0,下宿
シティハイム安東,静岡市葵区安東二丁目１１番８番,シティハイム安東,2,0,共同住宅
宗教法人日本バプテスト静岡キリスト教会,静岡市葵区安東二丁目１２番３９号,宗教法人日本バプテスト静岡キリスト教会,2,0,教会
コンフォート安東,静岡市葵区安東二丁目１３番３号,コンフォ－ト安東,2,0,共同住宅
昭和設計株式会社（倉庫）,静岡市葵区安東二丁目１４番１８号,昭和設計株式会社（倉庫）,2,0,倉庫
昭和設計株式会社,静岡市葵区安東二丁目１５番１３号,昭和設計株式会社（事務所）,3,1,事務所
グランメールハイム,静岡市葵区安東二丁目１５番２８号,グランメールハイム,2,0,共同住宅
静岡市安東児童館,静岡市葵区安東二丁目１６番１２号,静岡市安東児童館,1,0,集会場
クレール安東,静岡市葵区安東二丁目１６番１９号,クレール安東,3,0,共同住宅
アベルテ安東,静岡市葵区安東二丁目１６番２３号,アベルテ安東,2,0,共同住宅
メゾンヴァンベール安東,静岡市葵区安東二丁目１６番３０号,メゾンヴァンベール安東,4,0,共同住宅
静岡安東郵便局,静岡市葵区安東二丁目１７番１４号,静岡安東郵便局,2,0,銀行・証券会社等
パークハイツ安東,静岡市葵区安東二丁目１７番２０号,パークハイツ安東,3,0,共同住宅
浅川貸事務所,静岡市葵区安東二丁目１番２１号,浅川貸事務所,2,0,非特定複合用途
ＥＸＣＥＬ安東,静岡市葵区安東二丁目１番２５号,ＥＸＣＥＬ安東,3,0,共同住宅
株式会社 青島文化教材社 第２倉庫,静岡市葵区安東二丁目１番８号,株式会社 青島文化教材社 第２倉庫,2,0,倉庫
企業組合　安東米店,静岡市葵区安東二丁目２０番２４号,企業組合　安東米店　作業場,2,0,作業場
トークハイム安東,静岡市葵区安東二丁目２１番１５号,トークハイム安東,3,0,共同住宅
医療法人社団　太田歯科クリニック,静岡市葵区安東二丁目２１番２３号,医療法人社団　太田歯科クリニック,2,0,特定複合用途
ソレイル安東,静岡市葵区安東二丁目２１番５号,ソレイル安東,3,0,共同住宅
ガーデンコート安東,静岡市葵区安東二丁目２４番２２号,ガーデンコート安東,3,0,共同住宅
ラ・グランド,静岡市葵区安東二丁目２５番２２号,ラ・グランド,2,0,共同住宅
インペリアル安東,静岡市葵区安東二丁目２５番２７号,インペリアル安東,4,1,共同住宅
ハウス安東,静岡市葵区安東二丁目２７番１０号,ハウス安東,2,0,共同住宅
静岡県立大学安東住宅,静岡市葵区安東二丁目２７番１６号,静岡県立大学　安東住宅,2,0,共同住宅
有限会社大石四宝堂,静岡市葵区安東二丁目２７番２０号,有限会社　大石四宝堂,3,0,特定複合用途
株式会社清栄堂,静岡市葵区安東二丁目２番１８号,株式会社清栄堂,2,0,倉庫
シェーンベルク安東,静岡市葵区安東二丁目２番８号,シェ－ンベルク安東,4,0,共同住宅
板橋ハイツ,静岡市葵区安東二丁目４番１０号,板橋ハイツ,2,0,共同住宅
サンルーム板橋,静岡市葵区安東二丁目４番１８号,サンルーム板橋,2,0,共同住宅
シャルマン安東,静岡市葵区安東二丁目４番１号,シャルマン安東,2,0,共同住宅
宗教法人　本要寺,静岡市葵区安東二丁目５番１０号,宗教法人　本要寺（本堂）,2,0,寺院
メゾンプレザードⅡ,静岡市葵区安東二丁目５番１７号,メゾンプレザード２,2,0,共同住宅
グレースハイツ,静岡市葵区安東二丁目５番２１号,グレースハイツ,2,0,共同住宅
アメニティハウス,静岡市葵区安東二丁目５番２７号,アメニティハウス,2,0,共同住宅
チサンマンション安東,静岡市葵区安東二丁目５番３０号,チサンマンション安東（Ａ棟）,3,0,共同住宅
チサンマンション安東,静岡市葵区安東二丁目５番３０号,チサンマンション安東（Ｂ棟）,3,0,共同住宅
サンパティーク安東,静岡市葵区安東二丁目５番３９号,サンパティ－ク安東,2,0,共同住宅
ペアハウスＢ,静岡市葵区安東二丁目５番５４号,ペアハウスＢ,2,0,共同住宅
ペアハウスＡ,静岡市葵区安東二丁目５番５号,ペアハウスＡ,2,0,共同住宅
ピアチューレ安東,静岡市葵区安東二丁目６番１９号,ピュアチュ－レ安東,2,0,共同住宅
宗教法人　天理教愛八分教會,静岡市葵区安東二丁目６番２３号,宗教法人　天理教愛八分教会,3,0,非特定複合用途
パルク安東,静岡市葵区安東二丁目６番４７号,パルク安東,2,0,共同住宅
医療法人　社団健腎会　森本歯科クリニック,静岡市葵区安東二丁目７番１３号,森本歯科クリニック,2,0,(６)項イ  その他
ル・ボア平喜,静岡市葵区安東二丁目７番３９号,ル・ボア平喜,4,0,共同住宅
プラス・ベル・エアー,静岡市葵区安東二丁目７番４７号,プラス・ベル・エアー,3,0,共同住宅
プラス・ベル・エアー,静岡市葵区安東二丁目７番４７号,清風ハイツ,3,0,共同住宅
レオパレス安東,静岡市葵区安東二丁目８番１５号,レオパレス安東,2,0,共同住宅
セジュール葵,静岡市葵区安東二丁目９番１号,セジュール葵,2,0,共同住宅
三井住友銀行治心寮,静岡市葵区安東二丁目９番５号,三井住友銀行治心寮,2,0,寄宿舎
安東ハイツ,静岡市葵区安東柳町１１番地,安東ハイツ,3,1,共同住宅
弁護士藤森克美法律事務所,静岡市葵区安東柳町１番３号,弁護士藤森克美法律事務所,3,0,(１５)項  その他
静仙銘茶輸送有限会社,静岡市葵区安倍口新田１２５番地の５,静仙銘茶輸送有限会社,2,0,倉庫
医療法人社団　良明会　　溝口整形外科医院,静岡市葵区安倍口新田１２９番地の２１,医療法人社団　良明会　溝口整形外科医院,1,0,診療所
有限会社スズキ鉄工,静岡市葵区安倍口新田１３８番地の１,有限会社スズキ鉄工,1,0,工場
森福耳鼻咽喉科医院,静岡市葵区安倍口新田１４３番地の１,森福耳鼻咽喉科医院,2,0,特定複合用途
美和建設株式会社,静岡市葵区安倍口新田１４５番地の５,美和建設株式会社,1,0,倉庫
株式会社スズキベンチレ－タ－,静岡市葵区安倍口新田１５２番地,株式会社スズキベンチレ－タ－,2,0,作業場
川村貸倉庫,静岡市葵区安倍口新田１６２番地,川村貸倉庫,2,0,作業場
